Date,Time,Host,Final,Competitor 1 ,Flask,T0 Dilution Blue,T0 Blue,T0 Blue PFU/ml,T0 Clear Diltuion,T0 Clear,T0 Clear PFU/ml,T Final Dilution Blue,Tf Blue ,Tf PFU/ml Blue,Tf Dilution Clear,Tf Clear,Tf PFU/ml Clear,Mb (per h),Mc (per h),Wapprox,Mbar,W=Mb/Mc,W=Mc/Mb,r (b-c),r (c-b)
Jul_15_2012,4hr,606,,E4-13.2,1,0.01,111,11100,0.01,88,8800,0.001,76,76000,0.01,263,26300,0.48,0.2737,0.49366,0.4093,1.76,0.57,0.2072,-0.2072
Jul_15_2012,4hr,606,,E4-13.2,2,0.01,105,10500,0.01,113,11300,0.001,74,74000,0.01,37,3700,0.49,-0.27912,-1.41486,0.3177,-1.75,-0.57,0.7673,-0.7673
Jul_15_2012,4hr,606,,E4-13.2,3,0.01,111,11100,0.01,82,8200,0.001,71,71000,0.01,22,2200,0.46,-0.32892,-1.37899,0.3333,-1.41,-0.71,0.7929,-0.7929
Jul_15_2012,4hr,606,,E4-13.2,4,0.01,129,12900,0.01,82,8200,0.001,120,120000,0.01,94,9400,0.56,0.03414,-0.15442,0.4534,16.33,0.06,0.5234,-0.5234
Jul_15_2012,4hr,606,,E4-13.2,5,0.01,117,11700,0.01,98,9800,0.001,111,111000,0.01,47,4700,0.56,-0.1837,-0.77353,0.4207,-3.06,-0.33,0.7462,-0.7462
Jul_15_2012,4hr,606,,E4-13.2,6,0.01,114,11400,0.01,128,12800,0.001,111,111000,0.01,215,21500,0.57,0.12965,-0.03357,0.4251,4.39,0.23,0.4393,-0.4393
Jul_15_2012,4hr,606,,E4-13.2,7,0.01,113,11300,0.01,88,8800,0.001,89,89000,0.01,18,1800,0.52,-0.39674,-1.42105,0.377,-1.3,-0.77,0.9127,-0.9127
Jul_15_2012,4hr,606,,E4-13.2,8,0.01,103,10300,0.01,87,8700,0.001,54,54000,0.01,26,2600,0.41,-0.30195,-1.62434,0.2729,-1.37,-0.73,0.7162,-0.7162
Jul_15_2012,4hr,ECC4,,E4-13.2,1,0.01,102,10200,0.01,96,9600,0.01,27,2700,0.01,19,1900,-0.33,-0.40498,1.19921,-0.3649,0.82,1.22,0.0727,-0.0727
Jul_15_2012,4hr,ECC4,,E4-13.2,2,0.01,118,11800,0.01,66,6600,0.01,31,3100,0.01,28,2800,-0.33,-0.21436,0.57865,-0.2843,1.56,0.64,-0.1198,0.1198
Jul_15_2012,4hr,ECC4,,E4-13.2,3,0.01,102,10200,0.01,83,8300,0.01,60,6000,0.01,1,100,-0.13,-1.10471,4.50453,-0.2774,0.12,8.33,0.9721,-0.9721
Jul_15_2012,4hr,ECC4,,E4-13.2,4,0.01,98,9800,0.01,87,8700,0.01,43,4300,0.01,31,3100,-0.21,-0.25798,1.22717,-0.2291,0.8,1.25,0.052,-0.052
Jul_15_2012,4hr,ECC4,,E4-13.2,5,0.01,92,9200,0.01,94,9400,0.01,32,3200,0.01,47,4700,-0.26,-0.17329,0.57619,-0.2141,1.52,0.66,-0.0907,0.0907
Jul_15_2012,4hr,ECC4,,E4-13.2,6,0.01,118,11800,0.01,88,8800,0.01,33,3300,0.01,25,2500,-0.32,-0.31462,0.9876,-0.3169,1.01,0.99,-0.0039,0.0039
Jul_15_2012,4hr,ECC4,,E4-13.2,7,0.01,117,11700,0.01,99,9900,0.01,42,4200,0.01,50,5000,-0.26,-0.17077,0.59999,-0.2134,1.5,0.67,-0.0854,0.0854
Jul_15_2012,4hr,ECC4,,E4-13.2,8,0.01,118,11800,0.01,83,8300,0.01,50,5000,0.01,24,2400,-0.21,-0.3102,1.38242,-0.2498,0.69,1.45,0.0955,-0.0955
Jul_15_2012,4hr,606,,cI26,1,0.01,177,17700,0.01,85,8500,0.001,41,41000,0.001,116,116000,0.21,0.65338,1.99052,0.4476,0.32,3.11,-0.4434,0.4434
Jul_15_2012,4hr,606,,cI26,2,0.01,107,10700,0.01,162,16200,0.0001,15,150000,0.0001,62,620000,0.66,0.91118,1.29941,0.8386,0.72,1.38,-0.2511,0.2511
Jul_15_2012,4hr,606,,cI26,3,0.01,87,8700,0.01,153,15300,0.0001,21,210000,0.0001,64,640000,0.8,0.9334,1.15414,0.8918,0.85,1.17,-0.1375,0.1375
Jul_15_2012,4hr,606,,cI26,4,0.01,106,10600,0.01,134,13400,0.001,42,42000,0.001,111,111000,0.34,0.52857,1.39811,0.4631,0.65,1.54,-0.1844,0.1844
Jul_15_2012,4hr,606,,cI26,5,0.01,94,9400,0.01,131,13100,0.001,73,73000,0.001,179,179000,0.51,0.65369,1.23388,0.604,0.78,1.28,-0.1413,0.1413
Jul_15_2012,4hr,606,,cI26,6,0.01,107,10700,0.01,179,17900,0.0001,23,230000,0.0001,44,440000,0.77,0.80049,1.04253,0.7885,0.96,1.04,-0.0335,0.0335
Jul_15_2012,4hr,606,,cI26,7,0.01,109,10900,0.01,146,14600,0.001,108,108000,0.001,222,222000,0.57,0.68041,1.16727,0.6401,0.84,1.19,-0.1071,0.1071
Jul_15_2012,4hr,606,,cI26,8,0.01,85,8500,0.01,114,11400,0.001,90,90000,0.001,222,222000,0.59,0.74227,1.22139,0.6881,0.79,1.26,-0.1523,0.1523
Jul_15_2012,4hr,ECC4,,cI26,1,0.01,107,10700,0.01,153,15300,0.01,95,9500,0.01,137,13700,-0.03,-0.02761,0.92545,-0.0285,1.08,0.93,-0.0021,0.0021
Jul_15_2012,4hr,ECC4,,cI26,2,0.01,85,8500,0.01,124,12400,0.01,94,9400,0.01,101,10100,0.03,-0.05129,5.41056,-0.0173,-0.49,-2.04,0.0765,-0.0765
