date,rep,treatment,genotype,stat_label,dil_t0,count_t0,titer_t0,dil_t2,count_t2,titer_t2,rate,rate_per_h,rate_corrected,rate_corrected_neg,rate_corrected_neg_cell
Oct022015,4,evo,A12,A12,-3,333,2.96E+05,-3,157,1.57E+05,-0.63,-0.57,-0.3920,0.3920,4.55335E-09
Oct022015,3,evo,A7,A7,-3,294,2.61E+05,-3,185,1.85E+05,-0.35,-0.31,-0.2803,0.2803,3.25573E-09
Oct022015,4,evo,A7,A7,-3,318,2.83E+05,-3,195,1.95E+05,-0.37,-0.33,-0.1518,0.1518,1.76291E-09
Oct022015,3,evo,B2,B2,-3,228,2.03E+05,-3,126,1.26E+05,-0.48,-0.43,-0.1870,0.1870,2.17173E-09
Oct022015,4,evo,B2,B2,-3,242,2.15E+05,-3,135,1.35E+05,-0.47,-0.42,-0.2246,0.2246,2.60895E-09
Oct022015,3,evo,D9,D9,-3,216,1.92E+05,-3,120,1.20E+05,-0.47,-0.42,-0.2427,0.2427,2.81895E-09
Oct022015,4,evo,D9,D9,-3,185,1.64E+05,-3,115,1.15E+05,-0.36,-0.32,0.0873,-0.0873,-1.01405E-09
Oct022015,3,evo,E4,E4,-3,251,2.23E+05,-3,134,1.34E+05,-0.51,-0.46,-0.2650,0.2650,3.07835E-09
Oct022015,4,evo,E4,E4,-3,255,2.27E+05,-3,137,1.37E+05,-0.50,-0.45,-0.4862,0.4862,5.64682E-09
Oct022015,3,evo,G9,G9,-3,234,2.08E+05,-3,122,1.22E+05,-0.53,-0.48,-0.3582,0.3582,4.16023E-09
Oct022015,4,evo,G9,G9,-3,248,2.20E+05,-3,130,1.30E+05,-0.53,-0.47,-0.3475,0.3475,4.03625E-09
Oct022015,13,evo,1A,xanc_a,-3,313,2.78E+05,-3,166,1.66E+05,-0.52,-0.46,-0.1884,0.1884,2.18837E-09
Oct022015,14,evo,1A,xanc_a,-3,310,2.76E+05,-3,212,2.12E+05,-0.26,-0.23,-0.0434,0.0434,5.0446E-10
Oct022015,15,evo,1A,xanc_b,-3,343,3.05E+05,-3,190,1.90E+05,-0.47,-0.42,-0.1022,0.1022,1.18722E-09
Oct022015,16,evo,1A,xanc_b,-3,327,2.91E+05,-3,208,2.08E+05,-0.33,-0.30,0.0254,-0.0254,-2.95023E-10
Oct022015,17,evo,1A,xanc_c,-3,294,2.61E+05,-3,222,2.22E+05,-0.16,-0.15,0.1699,-0.1699,-1.97324E-09
Oct022015,18,evo,1A,xanc_c,-3,332,2.95E+05,-3,230,2.30E+05,-0.25,-0.22,0.0330,-0.0330,-3.83652E-10
Oct022015,19,evo,1A,xanc_d,-3,310,2.76E+05,-3,250,2.50E+05,-0.10,-0.09,0.0650,-0.0650,-7.54805E-10
Oct022015,20,evo,1A,xanc_d,-3,353,3.14E+05,-3,241,2.41E+05,-0.26,-0.24,0.0325,-0.0325,-3.77843E-10
Oct022015,21,evo,1A,xanc_e,-3,313,2.78E+05,-3,210,2.10E+05,-0.28,-0.25,-0.2021,0.2021,2.34781E-09
Oct022015,22,evo,1A,xanc_e,-3,271,2.41E+05,-3,215,2.15E+05,-0.11,-0.10,0.0981,-0.0981,-1.1394E-09
Oct022015,23,evo,1A,xanc_f,-3,299,2.66E+05,-3,225,2.25E+05,-0.17,-0.15,-0.0040,0.0040,4.61241E-11
Oct022015,24,evo,1A,xanc_f,-3,298,2.65E+05,-3,228,2.28E+05,-0.15,-0.13,-0.1169,0.1169,1.35781E-09
Oct022015,3,cam,A12,A12,-3,332,2.95E+05,-3,229,2.29E+05,-0.25,-0.23,,,
Oct022015,4,cam,A12,A12,-3,345,3.07E+05,-3,252,2.52E+05,-0.20,-0.18,,,
Oct022015,3,cam,A7,A7,-3,337,3.00E+05,-3,290,2.90E+05,-0.03,-0.03,,,
Oct022015,4,cam,A7,A7,-3,340,3.02E+05,-3,247,2.47E+05,-0.20,-0.18,,,
Oct022015,3,cam,B2,B2,-3,210,1.87E+05,-3,143,1.43E+05,-0.27,-0.24,,,
Oct022015,4,cam,B2,B2,-3,219,1.95E+05,-3,157,1.57E+05,-0.22,-0.19,,,
Oct022015,3,cam,D9,D9,-3,221,1.96E+05,-3,161,1.61E+05,-0.20,-0.18,,,
Oct022015,4,cam,D9,D9,-3,227,2.02E+05,-3,128,1.28E+05,-0.46,-0.41,,,
Oct022015,3,cam,E4,E4,-3,248,2.20E+05,-3,178,1.78E+05,-0.21,-0.19,,,
Oct022015,4,cam,E4,E4,-3,199,1.77E+05,-3,184,1.84E+05,0.04,0.04,,,
Oct022015,3,cam,G9,G9,-3,243,2.16E+05,-3,189,1.89E+05,-0.13,-0.12,,,
Oct022015,4,cam,G9,G9,-3,264,2.35E+05,-3,204,2.04E+05,-0.14,-0.13,,,
Oct022015,13,cam,1A,xanc,-3,275,2.44E+05,-3,180,1.80E+05,-0.31,-0.27,,,
Oct022015,14,cam,1A,xanc,-3,280,2.49E+05,-3,201,2.01E+05,-0.21,-0.19,,,
Oct022015,15,cam,1A,xanc,-3,306,2.72E+05,-3,190,1.90E+05,-0.36,-0.32,,,
Oct022015,16,cam,1A,xanc,-3,317,2.82E+05,-3,196,1.96E+05,-0.36,-0.33
Oct022015,17,cam,1A,xanc,-3,325,2.89E+05,-3,203,2.03E+05,-0.35,-0.32
Oct022015,18,cam,1A,xanc,-3,328,2.92E+05,-3,219,2.19E+05,-0.29,-0.26
Oct022015,19,cam,1A,xanc,-3,308,2.74E+05,-3,231,2.31E+05,-0.17,-0.15
Oct022015,20,cam,1A,xanc,-3,281,2.50E+05,-3,185,1.85E+05,-0.30,-0.27
Oct022015,21,cam,1A,xanc,-3,289,2.57E+05,-3,243,2.43E+05,-0.06,-0.05
Oct022015,22,cam,1A,xanc,-3,308,2.74E+05,-3,219,2.19E+05,-0.22,-0.20
Oct022015,23,cam,1A,xanc,-3,299,2.66E+05,-3,226,2.26E+05,-0.16,-0.15
Oct022015,24,cam,1A,xanc,-3,273,2.43E+05,-3,238,2.38E+05,-0.02,-0.02
