Date,Time,Host,Final,Competitor 1 ,Flask,Mb (per h),Mc (per h),Mbar,r (b-c),r (c-b),label,sel_rate,growth
Oct_26_2012,8hr,ECC4,yes,A12-10.6,5,-0.1,1.045,0.7015,-1.1491,1.1491,n,1.1491,-0.1
Oct_26_2012,8hr,ECC4,yes,A12-10.6,6,-0.04,0.94121,0.5773,-0.9833,0.9833,n,0.9833,-0.04
Oct_26_2012,8hr,ECC4,yes,A12-10.6,7,-0.17,1.1285,0.7197,-1.2954,1.2954,n,1.2954,-0.17
Nov_05_2012,8hr,606,yes,E4-13.2,1,0.7,0.79681,0.7427,-0.101,0.101,n,0.101,0.7
Nov_05_2012,8hr,606,yes,E4-13.2,2,0.85,1.00534,0.9304,-0.1598,0.1598,n,0.1598,0.85
Nov_05_2012,8hr,606,yes,E4-13.2,3,0.8,0.93857,0.8688,-0.1419,0.1419,n,0.1419,0.8
Nov_05_2012,8hr,606,yes,E4-13.2,4,0.8,0.97571,0.8973,-0.1738,0.1738,n,0.1738,0.8
Nov_05_2012,8hr,606,yes,E4-13.2,5,0.74,0.93084,0.842,-0.1906,0.1906,n,0.1906,0.74
Nov_05_2012,8hr,606,yes,E4-13.2,6,0.87,1.08553,0.9603,-0.2186,0.2186,n,0.2186,0.87
Nov_05_2012,8hr,606,yes,E4-13.2,7,0.99,1.04433,1.0028,-0.0541,0.0541,n,0.0541,0.99
Nov_05_2012,8hr,606,yes,E4-13.2,8,0.76,0.95769,0.8563,-0.1948,0.1948,n,0.1948,0.76
Nov_05_2012,8hr,ECC4,yes,E4-13.2,1,-0.25,0.51179,0.2464,-0.7637,0.7637,n,0.7637,-0.25
Nov_05_2012,8hr,ECC4,yes,E4-13.2,2,-0.22,0.34851,0.204,-0.5725,0.5725,n,0.5725,-0.22
Nov_05_2012,8hr,ECC4,yes,E4-13.2,3,-0.04,0.34167,0.2343,-0.3776,0.3776,n,0.3776,-0.04
Nov_05_2012,8hr,ECC4,yes,E4-13.2,4,-0.41,0.38122,0.2698,-0.7885,0.7885,n,0.7885,-0.41
Nov_05_2012,8hr,ECC4,yes,E4-13.2,5,-0.21,0.50412,0.3902,-0.7114,0.7114,n,0.7114,-0.21
Nov_05_2012,8hr,ECC4,yes,E4-13.2,6,-0.23,0.47383,0.2644,-0.7019,0.7019,n,0.7019,-0.23
